CALCE BEM CALCADOS LTDA                     ,PCA PADRE JOSE PEREIRA COELHO 136 - CENTRO                  ,MG   ,PARA DE MINAS         ,37 2101-4300
CALCE E LEVE LTDA ME                        ,RUA ADALBERTO FERRAZ 549 - CENTRO                           ,MG   ,POUSO ALEGRE          ,35-3422-0010
CANDIDA BARROS FUMIAN BREIJAO ME            ,PC DOM DELFIM 12 - CENTRO                                   ,MG   ,VIEIRAS               ,32 3755-1197
CARAVELA COMERCIAL LTDA                     ,AV RUI BARBOSA 481 - CENTRO                                 ,MG   ,PATROCINIO            ,34 3831-3006
CARLOS AUGUSTO RODRIGUES SANTOS ME          ,RUA RAUL SOARES  142 - CENTRO                               ,MG   ,SALINAS               ,38 3841-1926
CARLOS JOSE BERNARDI DE GODOY ME            ,PRESIDENTE TANCREDO NEVES 396 - CENTRO                      ,MG   ,MONTE SIAO            ,35 3465-2294
CAROLINE COSTA PATTO                        ,R JERONIMO SILVA 41 SL 02 - CENTRO                          ,MG   ,NOVA SERRANA          ,37 9 9173-2233
CARVALHO CALCADOS LTDA                      ,AV CEL DURVAL DE BARROS 809 - DURVAL DE BARROS              ,MG   ,IBIRITE               ,31-3382-3208
CARVALHO E ARAUJO CALCADOS LTDA             ,RUA MARECHAL FLORIANO 94 - PORTO NOVO                       ,MG   ,ALEM PARAIBA          ,32-3462-4331
CASA LEDO LTDA                              ,PCA RUI BARBOSA 180 - CENTRO                                ,MG   ,CAMPO BELO            ,35-3831-2658
CASA PARANA LTDA                            ,R BENJAMIN CONTANT 175 - ALTO MECES                         ,MG   ,CAMPO BELO            ,35-3832-6586
CASA RENATO LTDA                            ,RUA DR VEIGA LIMA 639 - CENTRO                              ,MG   ,CARMO DA CACHOEIRA    ,35-3225-1577/1125
CASTILHO &AMP; CASTILHO DE LARANJAL LTDA ME ,RUA ONOFRE SOARES DA SILVA 190 - CENTRO                     ,MG   ,LARANJAL              ,32-3424-1419
CELIA REGINA SILVA DO COUTO                 ,RUA JOSE JOAQUIM GOUVEIA 174 - CENTRO                       ,MG   ,CAREACU               ,35-3452-1681
CELIO GUIMARAES                             ,RUA CEL JOSE INACIO 157 - CENTRO                            ,MG   ,BORDA DA MATA         ,35-3445-1768
CELISMAR GENEROSO GOMES                     ,PCA ARTHUR BERNARDES 92 - CENTRO                            ,MG   ,TEIXEIRAS             ,31-3895-5026
CHICA COMERCIO DE CALCADOS LTDA             ,AV AFONSO PENA 576 - CENTRO                                 ,MG   ,BELO HORIZONTE        ,31-3201-5655
CIRCUITO CALCADOS LTDA EPP                  ,AV RAUL SOARES 57 - CENTRO                                  ,MG   ,MANHUMIRIM            ,33 3341-3003
CLAUDIA MARIA RESENDE DE ANDRADE ME         ,TEOFILO ANDRADE 85 -                                        ,MG   ,DESTERRO DE ENTRE RIOS,31 3736-1333
COIMBRA &AMP; FIDELIS LTDA ME               ,RUA SALVADOR ROBERTO 1154 - CENTRO                          ,MG   ,VARZEA DA PALMA       ,38-3731-1739
COLINA CALCADOS LTDA                        ,AVENIDA GOVERNADOR VALADARES 1041 - CENTRO                  ,MG   ,UNAI                  ,38 3676 1478
COLOMBO CALCADOS  LTDA-ME                   ,R GRAUNAS 318 - FLAVIO MARQUES LISBOA                       ,MG   ,BELO HORIZONTE        ,31-3385-5501
